orderid,bikeid,userid,start_time,start_location_x,start_location_y,end_time,end_location_x,end_location_y
790855,1555,945,2016-08-17 09:19,121.57131,31.24114,2016-08-17 10:03,121.58156,31.19966
758834,1565,3793,2016-08-21 19:29,121.57121,31.25538,2016-08-21 19:49,121.56488,31.25736
1233085,1567,720,2016-08-11 21:20,121.48455,31.16669,2016-08-11 21:35,121.48238,31.16698
1116978,1568,7501,2016-08-14 17:14,121.40894,31.23949,2016-08-14 18:48,121.40785,31.19106
690814,1571,17450,2016-08-29 16:29,121.44321,31.23696,2016-08-29 16:40,121.453,31.22122
1602729,1572,5036,2016-08-06 18:47,121.41148,31.16898,2016-08-06 19:00,121.41414,31.1516
1544128,1572,10288,2016-08-28 18:34,121.44033,31.15362,2016-08-28 18:57,121.41442,31.15197
1517216,1576,6280,2016-08-06 12:17,121.55579,31.20847,2016-08-06 12:40,121.54633,31.20575
1483202,1576,1012,2016-08-22 20:20,121.55018,31.20915,2016-08-22 20:28,121.54464,31.20452
65498,1580,3747,2016-08-05 08:30,121.53137,31.32209,2016-08-05 09:32,121.5334,31.33199
694310,1581,12511,2016-08-21 18:36,121.3615,31.17686,2016-08-21 19:15,121.38488,31.213
194159,1581,11470,2016-08-10 08:46,121.44404,31.2075,2016-08-10 08:54,121.44771,31.21411
902761,1582,10713,2016-08-27 14:25,121.42276,31.21399,2016-08-27 14:38,121.42868,31.20359
266212,1582,5361,2016-08-01 09:18,121.42018,31.20386,2016-08-01 09:27,121.42949,31.20865
1790444,1584,15457,2016-08-26 20:38,121.45036,31.23624,2016-08-26 20:52,121.45708,31.24117
1751803,1591,5061,2016-08-24 18:30,121.45124,31.26581,2016-08-24 18:37,121.44831,31.25971
1464913,1592,1824,2016-08-22 19:47,121.50159,31.16918,2016-08-22 20:15,121.53572,31.1734
215071,1599,955,2016-08-17 06:40,121.44289,31.36182,2016-08-17 06:47,121.43471,31.35566
1250967,1599,1526,2016-08-23 18:31,121.43283,31.35208,2016-08-23 18:42,121.44341,31.36131
713994,1602,10929,2016-08-15 13:08,121.4411,31.22974,2016-08-15 13:23,121.45079,31.22687
1429019,1602,8633,2016-08-19 20:04,121.4165,31.20765,2016-08-19 20:08,121.42401,31.20368
1578264,1605,17339,2016-08-28 19:00,121.46576,31.20305,2016-08-28 19:07,121.47376,31.19739
1698953,1609,12828,2016-08-31 19:55,121.54242,31.14332,2016-08-31 20:06,121.52658,31.14247
810951,1609,4374,2016-08-20 19:58,121.50135,31.1386,2016-08-20 20:06,121.51018,31.1422
116558,1611,9065,2016-08-14 01:09,121.42186,31.15037,2016-08-14 01:13,121.42042,31.15272
439716,1613,3737,2016-08-10 17:09,121.4705,31.20962,2016-08-10 17:21,121.47545,31.21941
1592830,1621,7391,2016-08-14 22:29,121.44176,31.22402,2016-08-14 22:37,121.43872,31.21569
209035,1627,6450,2016-08-26 11:29,121.47227,31.22024,2016-08-26 11:49,121.47936,31.22809
1369512,1635,12152,2016-08-13 18:52,121.4268,31.18276,2016-08-13 19:19,121.4336,31.19111
277934,1639,8545,2016-08-02 15:45,121.48134,31.23215,2016-08-02 16:01,121.48895,31.21829
216342,1642,13239,2016-08-29 08:50,121.39962,31.1046,2016-08-29 09:02,121.4168,31.11104
992503,1645,4122,2016-08-12 07:40,121.42941,31.14131,2016-08-12 07:46,121.43083,31.14963
279105,1646,9200,2016-08-18 10:54,121.50883,31.23665,2016-08-18 11:00,121.50096,31.23361
178159,1649,14136,2016-08-25 08:02,121.44969,31.30539,2016-08-25 08:13,121.45998,31.31016
413422,1649,3504,2016-08-31 08:08,121.44911,31.305,2016-08-31 08:16,121.46087,31.30948
856097,1650,9106,2016-08-20 20:48,121.42611,31.19258,2016-08-20 21:13,121.44208,31.19127
1519930,1652,4423,2016-08-28 18:22,121.49294,31.20599,2016-08-28 18:59,121.46818,31.18765
633766,1657,1750,2016-08-02 21:23,121.53181,31.25705,2016-08-02 21:37,121.52471,31.26207
1581312,1657,8363,2016-08-06 17:28,121.44874,31.23478,2016-08-06 17:41,121.44615,31.2238
56714,1658,10269,2016-08-07 00:29,121.51249,31.27473,2016-08-07 00:34,121.50908,31.28197
283591,1663,10080,2016-08-05 14:35,121.47743,31.21467,2016-08-05 14:41,121.4773,31.22192
699517,1665,3900,2016-08-08 13:27,121.44314,31.22933,2016-08-08 13:33,121.44874,31.2279
1553768,1665,7064,2016-08-06 15:26,121.46385,31.23012,2016-08-06 15:36,121.46051,31.22051
1468518,1670,10314,2016-08-16 19:27,121.38047,31.13595,2016-08-16 19:36,121.37831,31.12674
1522620,1670,3739,2016-08-17 19:27,121.38189,31.13447,2016-08-17 19:35,121.37826,31.12676
1237061,1677,8796,2016-08-12 17:18,121.49583,31.16917,2016-08-12 17:29,121.5122,31.17151
926149,1677,10521,2016-08-09 20:05,121.4408,31.19316,2016-08-09 20:14,121.45163,31.19343
507619,1682,5170,2016-08-21 14:59,121.48583,31.19851,2016-08-21 15:07,121.48076,31.20055
1620914,1683,15234,2016-08-26 13:50,121.43717,31.18612,2016-08-26 13:58,121.43813,31.19125
549318,1683,8455,2016-08-10 18:23,121.46389,31.26145,2016-08-10 19:03,121.47131,31.24001
1043455,1685,12264,2016-08-17 12:35,121.53885,31.18861,2016-08-17 12:43,121.53996,31.19256
374299,1693,14065,2016-08-18 13:18,121.47355,31.19748,2016-08-18 13:24,121.47231,31.19386
491639,1696,8126,2016-08-09 14:13,121.44648,31.17306,2016-08-09 14:36,121.43621,31.15911
1144765,1699,1252,2016-08-30 13:46,121.47514,31.23208,2016-08-30 14:15,121.48228,31.20141
1106085,1699,2350,2016-08-22 11:10,121.47699,31.20711,2016-08-22 11:15,121.48255,31.20119
80545,1710,8185,2016-08-29 07:43,121.41326,31.15727,2016-08-29 08:08,121.39938,31.19659
1207501,1711,9506,2016-08-12 16:12,121.47985,31.2737,2016-08-12 16:37,121.48929,31.28383
549667,1715,9850,2016-08-10 18:27,121.46297,31.25792,2016-08-10 19:03,121.47131,31.24019
1525505,1717,12574,2016-08-14 20:56,121.49172,31.20361,2016-08-14 20:58,121.49072,31.20564
1160764,1724,6206,2016-08-12 13:18,121.37129,31.11591,2016-08-12 13:35,121.36346,31.11529
463757,1733,2215,2016-08-27 10:41,121.55043,31.27629,2016-08-27 10:59,121.53195,31.2721
114411,1734,5438,2016-08-02 10:13,121.31012,31.2363,2016-08-02 10:20,121.32025,31.24067
247139,1739,12350,2016-08-21 10:27,121.4483,31.33809,2016-08-21 10:35,121.44384,31.33148
1607346,1744,5753,2016-08-13 22:27,121.44012,31.289,2016-08-13 22:32,121.44907,31.2939
730177,1744,11246,2016-08-28 11:56,121.44531,31.28632,2016-08-28 12:02,121.44927,31.28237
173149,1748,8702,2016-08-15 07:18,121.4735,31.29987,2016-08-15 07:23,121.4679,31.30379
1012545,1748,9091,2016-08-04 20:14,121.4849,31.30343,2016-08-04 20:35,121.4729,31.29973
