x,y
116.317558,39.924202
116.260971,39.918006
117.167956,39.176189
120.439407,31.542804
104.097182,30.688624
112.911093,27.865652
116.360395,27.986942
116.233841,40.219072
113.321893,23.126153
121.141113,28.855651
113.378844,23.096244
116.858784,40.372261
120.313613,36.063523
121.437424,31.239812
120.369044,30.303696
104.044901,30.701731
102.629850,37.909866
116.749632,23.366944
123.429645,41.824224
121.238079,31.360508
118.027264,24.471733
121.614258,31.253872
110.460971,19.939023
108.323491,22.815351
119.979162,31.842189
113.372944,23.053313
117.390755,39.159214
121.516464,31.274294
108.911921,34.157762
120.251453,30.182422
121.572428,29.884486
120.384761,36.065603
117.978582,34.328696
117.024104,36.664702
121.424741,31.412772
123.762030,41.290182
111.190249,34.784330
121.558562,31.202603
112.179043,23.909990
116.990424,36.669474
120.792844,30.738081
116.336083,40.080373
116.372141,39.946132
113.288577,22.717565
113.380381,23.169433
113.330362,23.028323
114.020505,22.536166
111.057678,21.628404
118.594554,24.912099
113.938570,22.517043
106.605764,23.877356
119.306895,26.095664
115.173761,23.636383
114.957337,25.841726
113.058574,23.661749
113.331167,22.969178
118.180146,39.626101
121.421411,31.239694
121.440324,31.242113
113.278661,23.085774
113.285301,23.136372
120.642849,31.417794
116.347652,40.066594
116.576463,39.957899
117.837663,36.498364
120.446580,36.109645
118.114617,24.701594
113.925386,22.527528
113.919906,22.534748
126.759189,45.718044
113.366493,22.942863
113.213030,23.076119
121.296880,31.024874
116.296452,37.451174
119.342505,26.052463
117.185092,34.264244
123.499168,41.747478
116.597299,39.911297
120.746674,31.629713
122.027740,46.086963
120.677141,28.009803
120.565240,27.602423
123.379976,41.813572
122.005130,39.087303
113.324649,23.126702
108.946803,34.261591
120.163864,30.247223
120.207190,33.375324
113.568531,24.795612
113.309158,23.038519
118.032426,24.481699
116.323794,39.956140
113.854513,22.576081
113.367501,22.521944
113.852925,22.905645
118.355500,35.107161
118.244783,24.660993
113.139852,23.042582
123.442504,41.818152
113.231960,23.397208
103.962277,30.761403
113.920701,22.956592
120.308044,31.566852
110.351691,20.031664
109.527651,18.274441
119.349932,25.716149
117.222902,39.138242
121.424072,31.393226
120.173850,29.343407
113.367543,23.194275
116.384541,39.883953
113.762330,23.011373
119.286458,26.062195
116.162725,39.807395
113.834102,22.641778
119.260650,26.039461
126.619448,45.772470
113.298214,22.211703
113.482021,23.191250
114.060018,22.569026
120.152090,33.402402
106.462466,29.559213
113.202077,23.140743
