x,y
120.803711,31.324078
117.109765,36.190311
120.546153,31.309494
121.325345,31.298844
114.476411,22.594774
109.530566,18.290075
113.643001,34.718032
112.535904,32.991232
114.545510,38.054221
91.129272,29.653023
120.984618,31.904833
121.558080,29.865640
119.048047,29.602433
123.423303,41.690993
109.528891,18.290344
113.267274,23.172594
103.984327,30.824485
114.365622,30.581032
113.166403,27.857831
121.443188,29.627594
123.615952,41.840948
113.441379,22.955647
102.730062,25.047625
110.034730,18.511412
114.775073,34.548909
108.984422,34.269035
120.610705,31.343422
118.628116,32.058377
114.386728,22.722109
116.290844,39.997989
116.456414,39.994835
110.290081,25.240492
113.132601,22.965373
117.693300,39.041860
107.233232,34.340691
113.393564,24.197440
117.790636,39.242382
91.101618,29.637971
121.369650,31.208673
114.502666,36.608439
115.686028,37.728133
103.660311,25.028356
118.740375,32.023234
116.613814,23.651674
113.273585,23.118460
115.700649,37.748775
120.217434,30.313312
116.349085,39.957850
114.225123,22.689619
116.165448,39.728864
114.531487,22.720280
103.997150,30.649420
113.776758,23.031731
119.005770,25.426823
119.166706,39.714577
124.396862,40.136014
121.662593,31.807264
118.354571,34.372813
118.790274,32.020273
113.847460,22.767754
112.197962,34.175552
113.129307,31.025555
120.119155,30.329522
115.377194,22.777541
112.519676,37.873201
122.407520,37.145682
121.525983,31.143394
114.068952,22.539193
117.221292,31.819491
117.199022,39.117813
113.583851,28.707421
109.481638,28.583404
120.827556,31.649402
118.318057,33.941958
116.467153,40.009060
103.897317,30.800371
120.385053,31.528733
118.077723,24.599232
113.809596,22.676116
114.353085,34.800557
113.857256,35.005475
119.890262,29.452683
120.755848,31.197774
120.653442,31.339773
121.592754,31.280200
114.251297,30.584398
125.295834,43.867405
106.578918,29.557630
120.635071,31.374586
116.555673,39.917031
120.389223,30.329568
120.647631,27.752791
116.417343,39.923834
113.175791,30.661216
113.472740,22.264774
108.953864,34.333482
109.863034,40.644733
116.488229,39.867631
114.338601,22.692774
114.375253,30.528814
116.352465,39.994422
118.344195,35.063340
102.726713,25.048652
116.394467,37.342449
121.423989,29.877977
112.392505,26.417209
119.453023,32.204243
119.850892,31.363843
117.498842,38.990953
120.975391,31.382923
112.510646,37.887347
110.283915,25.258023
113.599222,23.528162
80.284307,41.162910
103.846137,30.045027
108.914529,34.216433
119.587918,32.421009
120.278056,30.310794
121.026925,30.678687
115.801515,29.244026
113.103063,22.568802
124.910075,42.088631
106.530931,29.577931
113.269327,22.988561
110.093095,20.910222
120.715050,30.758591
120.677252,27.989960
113.944901,22.536878
110.270254,25.261962
114.478085,37.062441
112.592239,26.883211
125.276497,43.805522
116.125081,39.723539
119.431891,32.394280
119.288387,26.036946
116.559338,33.242432
119.800471,29.842370
120.161383,35.951750
117.146860,34.262884
113.790407,22.779881
112.938947,35.089540
121.942471,29.201181
114.402750,30.639423
114.142972,22.695890
122.752573,40.854695
120.277724,31.493225
120.281929,31.626044
116.335122,39.824988
113.670704,34.754460
105.448471,28.895012
121.499104,31.143851
113.240122,23.110113
117.031808,32.651264
113.252878,22.842000
106.484348,26.575679
120.077810,30.151451
